word,jyutping
南北,naam4 bak1
南國,naam4 gwok3
博士,bok3 si6
博彩,bok3 coi2
博覽,bok3 laam5
占卜,zim1 buk1
卧室,ngo6 sat1
印刷,jan3 caat3
印製,jan3 zai3
危害,ngai4 hoi6
危急,ngai4 gap1
危機,ngai4 gei1
危殆,ngai4 toi5
即使,zik1 si2
卵子,leon2 zi2
厄運,aak1 wan6
原先,jyun4 sin1
原則,jyun4 zak1
原本,jyun4 bun2
原油,jyun4 jau4
原理,jyun4 lei5
厭惡,jim3 wu3
去世,heoi3 sai3
去向,heoi3 hoeng3
參與,caam1 jyu6
參謀,caam1 mau4
參閲,caam1 jyut6
及早,kap6 zou2
及至,kap6 zi3
友好,jau5 hou2
反之,faan2 zi1
反射,faan2 se6
反常,faan2 soeng4
反彈,faan2 daan6
反復,faan2 fuk6 / faan2 fuk1
反應,faan2 jing3
反抗,faan2 kong3
反擊,faan2 gik1
反映,faan2 jing2
反正,faan2 zing3
反省,faan2 sing2
反而,faan2 ji4
反覆,faan2 fuk1
反面,faan2 min6
反駁,faan2 bok3
取代,ceoi2 doi6
取勝,ceoi2 sing3
取捨,ceoi2 se2
取材,ceoi2 coi4
取締,ceoi2 dai3
取錄,ceoi2 luk6
受勛,sau6 fan1
受害,sau6 hoi6
受惠,sau6 wai6
受熱,sau6 jit6
受理,sau6 lei5
受益,sau6 jik1
受賄,sau6 kui2
受騙,sau6 pin3
叛亂,bun6 lyun6
叛徒,bun6 tou4
叢林,cung4 lam4
口味,hau2 mei6
口號,hau2 hou6
口角,hau2 gok3
口音,hau2 jam1
口頭,hau2 tau4
古人,gu2 jan4
古典,gu2 din2
古舊,gu2 gau6
古董,gu2 dung2
叫囂,giu3 hiu1
召開,ziu6 hoi1
召集,ziu6 zaap6
叮囑,ding1 zuk1
可信,ho2 seon3
可否,ho2 fau2
可恥,ho2 ci2
可敬,ho2 ging3
可笑,ho2 siu3
可行,ho2 hang4
可見,ho2 gin3
可觀,ho2 gun1
可謂,ho2 wai6
可貴,ho2 gwai3
司儀,si1 ji4
司法,si1 faat3
吃苦,hek3 fu2
吃虧,hek3 kwai1
吃驚,hek3 ging1
合乎,hap6 fu4
合併,hap6 bing3
合同,hap6 tung4
合成,hap6 sing4
合法,hap6 faat3
合約,hap6 joek3
合資,hap6 zi1
吉祥,gat1 coeng4
同志,tung4 zi3
同盟,tung4 mang4
同胞,tung4 baau1
名家,ming4 gaa1
名義,ming4 ji6
名譽,ming4 jyu6
名額,ming4 ngaak6 [ming4 ngaak2]
向來,hoeng3 loi4
君子,gwan1 zi2
吝嗇,leon6 sik1
否則,fau2 zak1
否定,fau2 ding6
否認,fau2 jing6
含有,ham4 jau5
含糊,ham4 wu4
含義,ham4 ji6
含量,ham4 loeng6
吶喊,naap6 haam3
吸毒,kap1 duk6
吸煙,kap1 jin1
吸食,kap1 sik6
呆板,ngoi4 baan2
呈現,cing4 jin6
告誡,gou3 gaai3
周到,zau1 dou3
周密,zau1 mat6
周年,zau1 nin4
周末,zau1 mut6
周界,zau1 gaai3
呻吟,san1 jam4
呼喚,fu1 wun6
呼嘯,fu1 siu3
呼應,fu1 jing3
呼籲,fu1 jyu6
命名,ming6 ming4
命運,ming6 wan6
