word,jyutping
心平氣和,sam1 ping4 hei3 wo4
心急如焚,sam1 gap1 jyu4 fan4
心悅誠服,sam1 jyut6 sing4 fuk6
心慌意亂,sam1 fong1 ji3 lyun6
心有餘悸,sam1 jau5 jyu4 gwai3
心灰意冷,sam1 fui1 ji3 laang5
心煩意亂,sam1 faan4 ji3 lyun6
心狠手辣,sam1 han2 sau2 laat6
心直口快,sam1 zik6 hau2 faai3
心花怒放,sam1 faa1 nou6 fong3
忍俊不禁,jan2 zeon3 bat1 gam1
忍氣吞聲,jan2 hei3 tan1 sing1
忐忑不安,taan2 tik1 bat1 on1
志同道合,zi3 tung4 dou6 hap6
忠心耿耿,zung1 sam1 gang2 gang2
念念不忘,nim6 nim6 bat1 mong4
怒氣沖沖,nou6 hei3 cung1 cung1
怡然自得,ji4 jin4 zi6 dak1
急中生智,gap1 zung1 sang1 zi3
急功近利,gap1 gung1 gan6 lei6
急流勇退,gap1 lau4 jung5 teoi3
急起直追,gap1 hei2 zik6 zeoi1
急轉直下,gap1 zyun2 zik6 haa6
怨天尤人,jyun3 tin1 jau4 jan4
怨聲載道,jyun3 sing1 zoi3 dou6
恍恍惚惚,fong2 fong2 fat1 fat1
恍然大悟,fong2 jin4 daai6 ng6
恭賀新禧,gung1 ho6 san1 hei1
恭賀春釐,gung1 ho6 ceon1 lei4
息事寧人,sik1 si6 ning4 jan4
悉力以赴,sik1 lik6 ji5 fu6
悠然自得,jau4 jin4 zi6 dak1
悲天憫人,bei1 tin1 man5 jan4
悲歡離合,bei1 fun1 lei4 hap6
悶悶不樂,mun6 mun6 bat1 lok6
情不自禁,cing4 bat1 zi6 gam3
惱羞成怒,nou5 sau1 sing4 nou6
愁眉苦臉,sau4 mei4 fu2 lim5
意氣風發,ji3 hei3 fung1 faat3
意猶未盡,ji3 jau4 mei6 zeon6
愛不釋手,oi3 bat1 sik1 sau2
愛莫能助,oi3 mok6 nang4 zo6
感同身受,gam2 tung4 san1 sau6
慢條斯理,maan6 tiu4 si1 lei5
慷慨就義,hong2 koi3 zau6 ji6
憤世嫉俗,fan5 sai3 zat6 zuk6
應接不暇,jing3 zip3 bat1 haa6
戀戀不捨,lyun2 lyun2 bat1 se2
我行我素,ngo5 hang4 ngo5 sou3
截然不同,zit6 jin4 bat1 tung4
戰戰兢兢,zin3 zin3 ging1 ging1
所作所為,so2 zok3 so2 wai4
所向無敵,so2 hoeng3 mou4 dik6
手忙腳亂,sau2 mong4 goek3 lyun6
手舞足蹈,sau2 mou5 zuk1 dou6
手足無措,sau2 zuk1 mou4 cou3
打成一片,daa2 sing4 jat1 pin3
打退堂鼓,daa2 teoi3 tong4 gu2
打鐵趁熱,daa2 tit3 can3 jit6
扶搖直上,fu4 jiu4 zik6 soeng5
扶老攜幼,fu4 lou5 kwai4 jau3
抑揚頓挫,jik1 joeng4 deon6 co3
投其所好,tau4 kei4 so2 hou3
投石問路,tau4 sek6 man6 lou6
拋磚引玉,paau1 zyun1 jan5 juk2
拍案叫絕,paak3 on3 giu3 zyut6
拔刀相助,bat6 dou1 soeng1 zo6
拖泥帶水,to1 nai4 daai3 seoi2
招兵買馬,ziu1 bing1 maai5 maa5
拭目以待,sik1 muk6 ji5 doi6
拾金不昧,sap6 gam1 bat1 mui6
持之以恆,ci4 zi1 ji5 hang4
指日可待,zi2 jat6 ho2 doi6
指鹿為馬,zi2 luk6 wai4 maa5
指點迷津,zi2 dim2 mai4 zeon1
按兵不動,on3 bing1 bat1 dung6
按部就班,on3 bou6 zau6 baan1
振振有詞,zan3 zan3 jau5 ci4
挺身而出,ting5 san1 ji4 ceot1
捉襟見肘,zuk1 kam1 gin3 zaau2
捨我其誰,se2 ngo5 kei4 seoi4
捷報頻傳,zit3 bou3 pan4 cyun4
掌上明珠,zoeng2 soeng6 ming4 zyu1
排山倒海,paai4 saan1 dou2 hoi2
接踵而至,zip3 zung2 ji4 zi3
推己及人,teoi1 gei2 kap6 jan4
推波助瀾,teoi1 bo1 zo6 laan4
推陳出新,teoi1 can4 ceot1 san1
掩人耳目,jim2 jan4 ji5 muk6
措手不及,cou3 sau2 bat1 kap6
揚眉吐氣,joeng4 mei4 tou3 hei3
揮灑自如,fai1 saa2 zi6 jyu4
揮金如土,fai1 gam1 jyu4 tou2
搖搖晃晃,jiu4 jiu4 fong2 fong2
搖搖欲墜,jiu4 jiu4 juk6 zeoi6
搖身一變,jiu4 san1 jat1 bin3
摩拳擦掌,mo1 kyun4 caat3 zoeng2
撲朔迷離,pok3 sok3 mai4 lei4
據為己有,geoi3 wai4 gei2 jau5
據理力爭,geoi3 lei5 lik6 zang1
擠眉弄眼,zai1 mei4 lung6 ngaan5
支離破碎,zi1 lei4 po3 seoi3
改過自新,goi2 gwo3 zi6 san1
改邪歸正,goi2 ce4 gwai1 zing3
改頭換面,goi2 tau4 wun6 min6
